,student_id,kc_id,probe_id,kc_appearance_count,answer
0,student_00,kc_0,kc_0_probe_0,0,0
1,student_00,kc_0,kc_0_probe_2,1,0
2,student_00,kc_0,kc_0_probe_0,2,1
3,student_00,kc_0,kc_0_probe_0,3,1
4,student_00,kc_0,kc_0_probe_1,4,1
5,student_00,kc_1,kc_1_probe_1,0,1
6,student_00,kc_1,kc_1_probe_0,1,1
7,student_00,kc_1,kc_1_probe_0,2,1
8,student_00,kc_2,kc_2_probe_2,0,0
9,student_00,kc_2,kc_2_probe_0,1,1
10,student_00,kc_2,kc_2_probe_2,2,1
11,student_00,kc_2,kc_2_probe_2,3,1
12,student_00,kc_3,kc_3_probe_0,0,0
13,student_00,kc_3,kc_3_probe_0,1,0
14,student_00,kc_3,kc_3_probe_1,2,0
15,student_00,kc_3,kc_3_probe_0,3,1
16,student_00,kc_3,kc_3_probe_2,4,1
17,student_00,kc_3,kc_3_probe_0,5,1
18,student_00,kc_4,kc_4_probe_2,0,0
19,student_00,kc_4,kc_4_probe_2,1,0
20,student_00,kc_4,kc_4_probe_0,2,0
21,student_00,kc_4,kc_4_probe_1,3,0
22,student_00,kc_4,kc_4_probe_1,4,0
23,student_00,kc_4,kc_4_probe_1,5,0
24,student_00,kc_4,kc_4_probe_1,6,0
25,student_00,kc_4,kc_4_probe_2,7,1
26,student_00,kc_4,kc_4_probe_0,8,0
27,student_00,kc_4,kc_4_probe_2,9,1
28,student_00,kc_4,kc_4_probe_2,10,1
29,student_00,kc_5,kc_5_probe_2,0,0
30,student_00,kc_5,kc_5_probe_0,1,1
31,student_00,kc_5,kc_5_probe_1,2,1
32,student_00,kc_5,kc_5_probe_2,3,1
33,student_00,kc_6,kc_6_probe_2,0,1
34,student_00,kc_6,kc_6_probe_2,1,1
35,student_00,kc_6,kc_6_probe_1,2,1
36,student_00,kc_7,kc_7_probe_1,0,0
37,student_00,kc_7,kc_7_probe_0,1,1
38,student_00,kc_7,kc_7_probe_2,2,1
39,student_00,kc_7,kc_7_probe_0,3,0
40,student_00,kc_7,kc_7_probe_1,4,1
41,student_00,kc_8,kc_8_probe_2,0,1
42,student_00,kc_8,kc_8_probe_2,1,0
43,student_00,kc_8,kc_8_probe_1,2,0
44,student_00,kc_8,kc_8_probe_1,3,1
45,student_00,kc_8,kc_8_probe_2,4,1
46,student_00,kc_9,kc_9_probe_2,0,1
47,student_00,kc_9,kc_9_probe_0,1,1
48,student_00,kc_9,kc_9_probe_1,2,1
49,student_01,kc_0,kc_0_probe_2,0,1
50,student_01,kc_0,kc_0_probe_1,1,1
51,student_01,kc_0,kc_0_probe_2,2,1
52,student_01,kc_1,kc_1_probe_1,0,0
53,student_01,kc_1,kc_1_probe_0,1,1
54,student_01,kc_1,kc_1_probe_1,2,1
55,student_01,kc_1,kc_1_probe_1,3,0
56,student_01,kc_1,kc_1_probe_1,4,1
57,student_01,kc_2,kc_2_probe_0,0,0
58,student_01,kc_2,kc_2_probe_2,1,1
59,student_01,kc_2,kc_2_probe_2,2,0
60,student_01,kc_2,kc_2_probe_0,3,1
61,student_01,kc_2,kc_2_probe_0,4,1
62,student_01,kc_3,kc_3_probe_0,0,1
63,student_01,kc_3,kc_3_probe_2,1,0
64,student_01,kc_3,kc_3_probe_0,2,1
65,student_01,kc_3,kc_3_probe_2,3,0
66,student_01,kc_3,kc_3_probe_0,4,0
67,student_01,kc_3,kc_3_probe_0,5,1
68,student_01,kc_4,kc_4_probe_1,0,0
69,student_01,kc_4,kc_4_probe_1,1,0
70,student_01,kc_4,kc_4_probe_0,2,0
71,student_01,kc_4,kc_4_probe_1,3,0
72,student_01,kc_4,kc_4_probe_2,4,0
73,student_01,kc_4,kc_4_probe_0,5,0
74,student_01,kc_4,kc_4_probe_0,6,1
75,student_01,kc_4,kc_4_probe_0,7,0
76,student_01,kc_4,kc_4_probe_2,8,1
77,student_01,kc_4,kc_4_probe_0,9,1
78,student_01,kc_5,kc_5_probe_1,0,0
79,student_01,kc_5,kc_5_probe_1,1,0
80,student_01,kc_5,kc_5_probe_0,2,0
81,student_01,kc_5,kc_5_probe_2,3,0
82,student_01,kc_5,kc_5_probe_2,4,1
83,student_01,kc_5,kc_5_probe_1,5,0
84,student_01,kc_5,kc_5_probe_2,6,0
85,student_01,kc_5,kc_5_probe_2,7,0
86,student_01,kc_5,kc_5_probe_2,8,0
87,student_01,kc_5,kc_5_probe_2,9,1
88,student_01,kc_5,kc_5_probe_2,10,0
